,school,stemidenpre,stemidenpost,gender,parentedu,workhrs,workspace,completion,totalpre,totalpost,totaldiff,stemIDchange,racecat
90,QU,2,3,0,0,2,2,0,7,7,0,1,0
91,RU,1,2,0,0,0,0,0,7,6,-1,1,0
92,RU,1,2,0,NA,0,3,1,4,6,2,1,1
93,RU,6,5,0,1,0,2,2,4,4,0,-1,1
94,QU,2,2,0,0,3,2,3,3,6,3,0,0
95,RU,1,1,0,1,3,3,0,5,3,-2,0,2
96,RU,4,4,0,1,4,2,1,8,8,0,0,6
97,QU,3,4,0,1,2,3,3,6,5,-1,1,2
98,QU,1,1,0,1,0,3,3,6,8,2,0,1
99,QU,3,3,1,0,2,2,0,8,9,1,0,0
100,QU,4,5,1,0,0,2,1,7,6,-1,1,0
101,QU,2,6,0,0,0,2,1,5,7,2,4,1
